id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
29059,Lovely studio Quartier Latin,125031,Maryline,,Ville-Marie,45.51939,-73.56482,Entire home/apt,152,2,333,2020-03-15,2.82,2,323,4,
29061,Maison historique - Quartier Latin,125031,Maryline,,Ville-Marie,45.51929,-73.56493,Entire home/apt,286,3,82,2021-09-06,0.71,2,249,14,
31847,Downtown/Airport room,2319,Gail,,Le Sud-Ouest,45.48467,-73.57995,Private room,40,2,157,2019-10-02,1.37,3,255,4,
34715,Chez Patrac ! Métro Beaubien,149769,Alain,,Rosemont-La Petite-Patrie,45.53818,-73.6036,Entire home/apt,140,4,4,2011-09-12,0.03,1,214,0,261 026
36301,Romantic & peaceful Plateau  loft,381468,Sylvie,,Le Plateau-Mont-Royal,45.53026,-73.58413,Entire home/apt,130,31,42,2021-08-31,0.71,7,118,3,
38118,Beautiful room  with a balcony in front of a parc,163569,M.,,Ville-Marie,45.52699,-73.5584,Private room,50,10,14,2019-09-15,0.14,3,342,0,
46626,Beautiful! Charming! Spacious! Rooms!,208453,Maureen,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.47012,-73.60725,Private room,63,3,22,2018-06-11,0.55,2,361,2,305995
50479,L'Arcade Douce (CITQ #271530),231694,Noémie,,Rosemont-La Petite-Patrie,45.54157,-73.60737,Entire home/apt,75,3,154,2019-11-30,1.29,1,13,29,271530
60268,Furnished bedroom and private bath-newly renovated,283339,Kimberley,,Dorval,45.4423,-73.76444,Private room,53,1,80,2020-03-14,1.27,1,347,0,
66247,Large Loft in Historic Old Montreal,318040,Seb,,Ville-Marie,45.50584,-73.55602,Entire home/apt,148,5,281,2021-10-01,3.29,6,40,17,
67514,Double Bed in Room with Skylight,333083,Dan,,Montréal-Ouest,45.45372,-73.6506,Private room,150,3,0,,,1,0,0,
70801,"Large, sunny house near Old MTL",294382,Jennifer&Steeve,,Le Sud-Ouest,45.47812,-73.55698,Entire home/apt,250,3,24,2018-10-14,0.20,1,223,1,
73171,Romantic garden studio in Plateau,381468,Sylvie,,Le Plateau-Mont-Royal,45.52891,-73.58219,Entire home/apt,110,31,83,2018-08-23,0.75,7,279,6,
75092,Family home with great backyard !,389705,Dan & Chris,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.46607,-73.62549,Entire home/apt,185,9,9,2015-07-12,0.14,1,0,0,
85267,Country feeling loft in Plateau,381468,Sylvie,,Le Plateau-Mont-Royal,45.52946,-73.58206,Entire home/apt,120,31,26,2019-08-17,1.00,7,289,3,
98825,Nice apartment in Little-Italy,520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53933,-73.61902,Entire home/apt,99,90,61,2018-08-31,0.71,5,43,0,
99859,Plateau Charm,525486,Sesaye,,Le Plateau-Mont-Royal,45.51856,-73.57756,Entire home/apt,182,3,29,2018-08-06,0.27,1,350,0,
107860,Room with Single Bed,528512,Jen,,Le Plateau-Mont-Royal,45.52508,-73.58719,Private room,18,90,143,2018-07-22,1.31,1,269,0,
135275,"Charming aparthotel, little Italie",520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53971,-73.61943,Entire home/apt,99,32,72,2019-05-10,0.58,5,43,0,
142722,Charming studio in Plateau heart,381468,Sylvie,,Le Plateau-Mont-Royal,45.52851,-73.58224,Entire home/apt,100,31,119,2021-04-10,1.27,7,130,2,
160639,Cosy Studio apartment,38398,Omar,,Rosemont-La Petite-Patrie,45.54512,-73.59808,Entire home/apt,90,186,16,2016-09-04,0.70,1,358,0,
161827,Hogan 60 -Entire Furnished apartment,753212,Georges,,Le Plateau-Mont-Royal,45.53882,-73.56102,Entire home/apt,71,31,12,2019-07-11,0.46,9,256,0,
164087,Functional studio (Secret Studio) - Mont Royal,292507076,Luckey,,Le Plateau-Mont-Royal,45.52954,-73.57813,Entire home/apt,79,1,558,2020-03-09,4.93,45,55,47,
165108,The Cocooning in the heart of Rosemont,787391,Karine,,Rosemont-La Petite-Patrie,45.54673,-73.57181,Entire home/apt,90,31,31,2020-01-01,0.26,3,121,2,
168331,Family apt (La Famille) - Plateau Mont Royal,292507076,Luckey,,Le Plateau-Mont-Royal,45.52936,-73.5787,Entire home/apt,154,3,517,2019-12-28,4.34,45,0,0,
171627,MINI LOUNGE LOFT,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49406,-73.62555,Private room,55,365,1,2011-08-11,0.01,3,364,0,
172492,"Plateau Mont-Royal  9 beds/12persons, AC",823036,Diane,,Le Plateau-Mont-Royal,45.51551,-73.57166,Entire home/apt,513,3,242,2020-03-15,2.14,5,3,0,
180947,"Loft at Unity 1, Downtown - 423",387422,Simplissimmo,,Ville-Marie,45.50312,-73.56346,Entire home/apt,115,1,4,2014-08-05,0.04,38,353,0,
182142,6 1/2- COSY - GARDEN & ELECTRIC CAR,818883,Lapelemo,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49172,-73.6247,Entire home/apt,245,31,0,,,3,220,0,
183306,06- Furnished apartment all inclusive,753212,Georges,,Le Plateau-Mont-Royal,45.53813,-73.56195,Entire home/apt,57,31,20,2011-08-01,0.49,9,34,14,
190003,Large sunny room HEARTH of plateau,640693,Marco,,Le Plateau-Mont-Royal,45.51937,-73.56999,Private room,13294,99,1,2011-08-13,0.01,1,365,0,
191567,Cozy and beautiful room in Montreal,926590,Isaumir,,Le Sud-Ouest,45.48062,-73.58676,Private room,45,1,23,2014-09-28,0.21,2,289,0,
196007,Apt top furnished - close downtown,953618,Yves,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.48,-73.6299,Entire home/apt,130,7,62,2016-09-08,0.51,1,0,0,
200322,Big double room,163569,M.,,Ville-Marie,45.52735,-73.55765,Private room,100,10,0,,,3,317,0,
206647,Le Montreal - Charming apartment (Atwater market),1016614,Home In Montreal,,Le Sud-Ouest,45.47944,-73.5582,Entire home/apt,83,90,18,2016-03-31,0.16,12,287,0,
208337,"Large apartment, terrace and garden",1025518,Christian,,Le Plateau-Mont-Royal,45.53217,-73.58388,Entire home/apt,150,20,22,2019-05-28,0.21,2,286,0,
211602,Beautiful sun-filled Studio,407029,Hans,,Baie-d'Urfé,45.41282,-73.90712,Entire home/apt,93,2,165,2019-07-14,1.94,1,12,6,
218773,"7 beds, LARGE 3BR HOME NEAR METRO,HEC,DOWNTOWN,JGH",966575,Lin,,Côte-des-Neiges-Notre-Dame-de-Grâce,45.49799,-73.63453,Entire home/apt,275,30,78,2019-07-21,0.68,7,305,4,
220624,Petit confortable hôtel au centre-ville Montréal,1143998,Adriana,,Ville-Marie,45.51573,-73.56219,Private room,100,2,22,2020-03-16,0.68,9,0,0,
228313,Cozy Private Flat,1191047,Caroline,,Rosemont-La Petite-Patrie,45.53951,-73.59968,Entire home/apt,65,3,1,2012-08-26,0.01,1,0,0,
231472,Charmant appartement équipé,520966,Myriam,,Villeray-Saint-Michel-Parc-Extension,45.53839,-73.61759,Entire home/apt,125,32,22,2020-03-31,0.19,5,43,0,
234198,Lovely studio in little garden,381468,Sylvie,,Le Plateau-Mont-Royal,45.52991,-73.58205,Entire home/apt,96,3,48,2015-05-30,0.43,7,295,3,
237216,"Modern, quiet Studio",1245164,Christophe &  Marie-Andrée,,Villeray-Saint-Michel-Parc-Extension,45.55275,-73.60055,Entire home/apt,81,30,38,2016-05-14,0.34,1,148,7,
239693,Cozy loft little Italy !!!,555545,Leticia,,Rosemont-La Petite-Patrie,45.5345,-73.6144,Entire home/apt,60,25,70,2019-07-05,0.59,1,0,0,
241212,"Le Laurier, exquisite loft",787391,Karine,,Rosemont-La Petite-Patrie,45.5467,-73.57182,Entire home/apt,160,31,15,2018-01-03,0.37,3,74,0,
248086,Vintage Plateau 2.5 all inclusive,1300334,Dan,,Le Plateau-Mont-Royal,45.53237,-73.57558,Entire home/apt,40,31,24,2017-08-24,0.24,4,46,1,
248088,"Covered Terrace Plateau, 4 bedrooms, 2 balconies",1300334,Dan,,Le Plateau-Mont-Royal,45.53192,-73.57475,Entire home/apt,100,240,3,2021-05-01,0.05,4,74,1,
254268,Gorgeous downtown condo getaway,1335666,Ulka,,Le Sud-Ouest,45.48956,-73.57042,Entire home/apt,119,3,9,2012-09-23,0.08,1,227,0,
255504,"Bright,Mont-Royal metro steps away",1342804,Andreas And Isabella,,Le Plateau-Mont-Royal,45.52456,-73.5833,Entire home/apt,195,28,92,2018-07-15,0.78,1,105,0,
256043,Plateau Mont-Royal Apt. - Unique Opportunity,1346302,Stéphanie,,Le Plateau-Mont-Royal,45.52912,-73.57694,Entire home/apt,100,32,34,2020-09-15,0.44,1,364,1,
260661,Little Italy : the paradise !!!!,1367625,Monik,,Rosemont-La Petite-Patrie,45.53338,-73.60833,Entire home/apt,160,3,208,2020-01-07,1.90,1,73,0,
